ID_Etudiant;Code_Cours;Note
27;1;14
30;4;17
25;2;12
6;1;7
13;4;15
9;3;1
3;4;11
29;4;17
15;3;10
29;7;12
17;8;11
8;10;7
12;6;20
11;4;3
12;4;5
17;2;8
27;2;7
1;4;20
15;2;10
1;2;10
20;1;18
3;6;18
30;7;17
2;4;2
30;8;20
1;8;14
10;10;1
6;5;19
16;7;13
11;10;4
25;8;9
28;5;6
1;3;9
26;7;5
19;7;14
5;4;16
14;2;3
16;9;13
11;4;10
6;10;1
24;3;11
10;8;10
10;10;8
9;10;7
2;5;12
28;2;15
30;8;5
8;5;18
23;6;15
5;1;10
6;3;17
10;6;19
1;8;15
4;8;9
3;9;3
25;8;19
27;6;5
5;7;5
9;9;17
6;8;20
14;1;5
13;10;18
1;10;10
22;8;1
23;8;20
23;10;3
11;7;13
24;9;7
19;1;8
25;3;19
6;4;8
8;9;6
24;2;13
11;4;17
26;4;5
24;3;16
25;7;20
10;4;11
7;6;7
18;4;13
6;7;20
16;6;10
15;6;2
13;1;14
4;10;16
16;2;18
12;3;17
16;8;17
1;10;14
15;5;13
13;8;6
29;3;17
18;10;3
12;7;5
5;8;9
30;3;6
18;6;6
5;10;9
23;10;18
22;6;12
4;3;14
